time,open,high,low,close,volume
1782601500000,60230.5,60303.2,60210.8,60210.9,339.634
1782601800000,60210.8,60243.6,59988.9,60009.1,828.978
1782602100000,60009.1,60071.4,59994.9,60021.5,644.965
1782602400000,60021.4,60021.5,59913.9,59970.6,410.042
1782602700000,59970.6,59991.9,59937.9,59962.7,212.314
1782603000000,59962.8,60023.9,59937.9,60021.0,186.448
1782603300000,60021.0,60041.6,59966.6,60041.6,198.481
1782603600000,60041.5,60071.3,60020.0,60030.5,174.285
1782603900000,60030.5,60048.2,60001.5,60038.6,149.285
1782604200000,60038.7,60054.0,60020.0,60045.4,157.993
1782604500000,60045.5,60045.5,59979.6,60000.3,160.405
1782604800000,60000.4,60056.6,59983.3,60011.4,209.021
1782605100000,60011.3,60123.0,60010.8,60104.9,363.437
1782605400000,60104.8,60114.0,60080.0,60107.3,145.729
1782605700000,60107.2,60149.0,60099.8,60125.1,124.006
1782606000000,60125.1,60149.0,60111.6,60139.6,77.726
1782606300000,60139.5,60165.8,60130.8,60141.8,191.623
1782606600000,60141.9,60150.0,60110.2,60125.9,151.185
1782606900000,60126.0,60137.6,60057.1,60133.7,157.955
1782607200000,60133.6,60150.0,60107.1,60149.9,149.814
1782607500000,60150.0,60168.7,60110.2,60150.6,107.501
1782607800000,60150.6,60150.6,60111.0,60140.7,104.434
1782608100000,60140.7,60161.9,60117.5,60125.1,117.847
1782608400000,60125.1,60140.6,60007.2,60025.0,165.926
1782608700000,60024.9,60028.9,59950.0,60000.1,447.425
1782609000000,60000.1,60057.4,59985.0,60055.8,231.93
1782609300000,60055.8,60120.0,60034.8,60070.2,169.99
1782609600000,60070.3,60150.0,60070.2,60149.9,142.498
1782609900000,60150.0,60217.2,60149.9,60181.1,268.268
1782610200000,60181.0,60207.2,60159.8,60203.6,142.488
1782610500000,60203.6,60226.4,60183.0,60195.0,147.411
1782610800000,60195.0,60245.5,60186.9,60231.2,327.894
1782611100000,60231.1,60256.8,60203.9,60207.8,170.902
1782611400000,60207.8,60232.2,60178.0,60178.0,124.071
1782611700000,60178.1,60206.1,60175.2,60193.0,100.635
1782612000000,60193.1,60247.8,60193.0,60240.1,120.512
1782612300000,60240.0,60255.9,60230.9,60241.8,88.46
1782612600000,60241.9,60260.0,60241.8,60256.0,114.943
1782612900000,60256.0,60314.3,60210.4,60218.1,370.615
1782613200000,60218.1,60218.2,60017.2,60065.8,478.642
1782613500000,60065.9,60107.9,60033.6,60087.2,217.907
1782613800000,60087.2,60117.0,60082.8,60106.6,117.276
1782614100000,60106.6,60125.0,60099.7,60100.5,83.393
1782614400000,60100.6,60115.9,60066.4,60099.9,117.77
1782614700000,60100.0,60120.0,60074.1,60098.0,115.169
1782615000000,60098.0,60147.0,60097.9,60126.0,112.159
1782615300000,60126.0,60156.2,60121.2,60121.2,120.845
1782615600000,60121.2,60178.0,60121.2,60162.2,103.064
1782615900000,60162.2,60180.0,60147.8,60171.0,110.311
1782616200000,60171.0,60243.1,60170.9,60230.4,175.049
1782616500000,60230.5,60238.6,60145.9,60238.5,316.628
1782616800000,60238.5,60249.9,60219.1,60238.5,118.406
1782617100000,60238.4,60238.4,60225.1,60229.3,26.785
1782617400000,60229.4,60250.4,60181.3,60185.1,158.1
1782617700000,60185.0,60190.0,60164.1,60172.6,76.022
1782618000000,60172.6,60178.7,60146.9,60166.4,104.448
1782618300000,60166.4,60176.2,60152.6,60169.4,57.472
1782618600000,60169.4,60180.0,60128.2,60151.2,77.421
1782618900000,60151.1,60194.6,60146.0,60169.5,131.239
1782619200000,60169.5,60188.7,60105.7,60174.7,139.115
1782619500000,60174.7,60203.2,60150.4,60174.8,116.316
1782619800000,60174.9,60186.1,60159.3,60186.1,72.534
1782620100000,60186.1,60200.0,60170.1,60170.1,61.158
1782620400000,60170.2,60205.4,60170.1,60201.1,66.439
1782620700000,60201.1,60203.6,60165.1,60172.6,65.598
1782621000000,60172.5,60172.6,60060.0,60094.1,194.848
1782621300000,60094.1,60115.6,60086.4,60104.5,157.106
1782621600000,60104.5,60150.7,60104.4,60146.3,99.253
1782621900000,60146.3,60167.7,60132.4,60151.1,60.905
1782622200000,60151.2,60158.7,60126.0,60126.0,71.987
1782622500000,60126.1,60126.1,60093.0,60108.1,110.845
1782622800000,60108.0,60112.3,59934.3,59949.9,546.009
